episode,reward
42500,8.602
42600,6.8015
42700,4.691
42800,4.929
42900,5.5815
43000,6.884
43100,7.419
43200,6.162
43300,5.247
43400,5.889
43500,5.8505
43600,4.572
43700,5.7
43800,4.975
43900,5.2365
44000,6.648
44100,4.2335
44200,6.5245
44300,4.9485
44400,6.6975
44500,3.3745
44600,5.0225
44700,5.04
44800,4.3945
44900,4.324
45000,5.23
45100,2.929
45200,5.635
45300,5.9295
45400,4.6135
45500,6.0745
45600,5.2655
45700,5.252
45800,5.2745
45900,6.315
46000,7.512
46100,8.5845
46200,4.3185
46300,6.423
46400,6.4265
46500,3.8105
46600,5.4045
46700,5.2665
46800,5.006
46900,6.8165
47000,3.6315
47100,3.362
47200,5.4295
47300,4.7425
47400,6.0655
47500,2.82
47600,5.7605
47700,3.1605
47800,4.925
47900,8.4885
48000,5.884
48100,7.686
48200,6.9935
48300,5.946
48400,6.261
48500,3.9345
48600,5.8765
48700,6.9855
48800,6.026
48900,4.621
49000,6.087
49100,6.0385
49200,5.156
49300,5.2645
49400,5.8475
49500,5.5895
49600,6.0975
49700,5.1185
49800,1.5485
49900,3.5795
