episode,reward
0,-7.488
100,-5.074
200,-4.644
300,-5.799
400,-5.592
500,-4.8645
600,-6.5755
700,-4.5895
800,-6.1545
900,-7.9475
1000,-7.7985
1100,-6.5015
1200,-6.991
1300,-7.8545
1400,-6.9395
1500,-8.31
1600,-7.448
1700,-8.257
1800,-7.8115
1900,-8.596
2000,-8.057
2100,-8.812
2200,-10.377
2300,-8.616
2400,-8.152
2500,-8.234
2600,-8.3315
2700,-9.8855
2800,-8.943
2900,-7.993
3000,-9.1325
3100,-8.9655
3200,-8.346
3300,-7.931
3400,-9.5805
3500,-8.0295
3600,-7.058
3700,-9.0565
3800,-7.59
3900,-8.5455
4000,-5.9105
4100,-7.65
4200,-8.515
4300,-6.0415
4400,-8.4235
4500,-6.416
4600,-8.4565
4700,-6.5795
4800,-7.668
4900,-6.8555
