episode,reward
0,-0.96
100,0.3025
200,0.898
300,0.418
400,1.315
500,1.204
600,-0.7545
700,0.9925
800,-2.829
900,0.7445
1000,0.999
1100,0.87
1200,-2.0855
1300,-0.782
1400,0.803
1500,-2.9715
1600,1.7585
1700,0.3295
1800,1.512
1900,-2.2495
2000,-0.597
2100,-0.3135
2200,-2.9465
2300,0.7145
2400,1.627
2500,1.335
2600,-2.0225
2700,-1.5985
2800,-2.121
2900,2.035
3000,0.1275
3100,-1.415
3200,1.578
3300,2.8455
3400,-0.4815
3500,1.5775
3600,-0.503
3700,2.2015
3800,1.7665
3900,-0.647
4000,2.9185
4100,2.092
4200,-2.7115
4300,0.5045
4400,0.7915
4500,3.4695
4600,-2.988
4700,-1.3355
4800,-2.3575
4900,0.1765
5000,2.0165
5100,-0.0885
5200,0.261
5300,-1.345
5400,0.6365
5500,1.513
5600,1.8255
5700,0.8665
5800,0.238
5900,-0.239
6000,-0.652
6100,-2.953
6200,-0.007
6300,-0.599
6400,-2.5515
6500,-2.2445
6600,-0.0675
6700,-3.838
6800,-2.685
6900,-1.102
7000,3.131
7100,-2.5505
7200,-0.3195
7300,0.0745
7400,2.3415
7500,-0.82
7600,-2.5305
7700,1.5125
7800,0.9655
7900,2.1095
8000,1.849
8100,-1.116
8200,1.388
8300,0.9465
8400,-2.27
8500,-2.488
8600,-1.393
8700,1.4505
8800,0.7845
8900,0.419
9000,-1.024
9100,-0.4545
9200,-3.1505
9300,-0.287
9400,-0.6485
9500,-1.7175
9600,-0.919
9700,-1.7665
9800,-0.494
9900,2.683
