episode,reward
0,-0.96
100,0.3025
200,0.898
300,0.418
400,1.315
500,1.204
600,-0.7545
700,0.9925
800,-2.829
900,0.7445
1000,0.999
1100,0.87
1200,-2.0855
1300,-0.782
1400,0.803
1500,-2.9715
1600,1.7585
1700,0.3295
1800,1.512
1900,-2.2495
2000,-0.597
2100,-0.3135
2200,-2.9465
2300,0.7145
2400,1.627
2500,1.335
2600,-2.0225
2700,-1.5985
2800,-2.121
2900,2.035
3000,0.1275
3100,-1.415
3200,1.578
3300,2.8455
3400,-0.4815
3500,1.5775
3600,-0.503
3700,2.2015
3800,1.7665
3900,-0.647
4000,2.9185
4100,2.092
4200,-2.7115
4300,0.5045
4400,0.7915
4500,3.4695
4600,-2.988
4700,-1.3355
4800,-2.3575
4900,0.1765
