episode,reward
0,2.035
100,3.5645
200,1.901
300,1.6405
400,2.9295
500,2.0615
600,2.26
700,3.24
800,0.117
900,2.4805
1000,1.534
1100,1.2375
1200,0.035
1300,2.8615
1400,4.014
1500,-0.329
1600,2.508
1700,3.495
1800,1.1925
1900,0.9105
2000,1.501
2100,3.6355
2200,0.4005
2300,0.7215
2400,3.3135
2500,3.301
2600,2.1965
2700,1.983
2800,0.175
2900,1.795
3000,0.774
3100,0.7885
3200,2.4795
3300,5.843
3400,3.3265
3500,3.181
3600,1.621
3700,1.7385
3800,3.7865
3900,1.2395
4000,5.781
4100,3.499
4200,0.9665
4300,2.57
4400,3.345
4500,4.869
4600,1.1275
4700,2.377
4800,2.9245
4900,3.0575
5000,2.5775
5100,3.03
5200,2.3255
5300,2.135
5400,3.8585
5500,3.2375
5600,3.6205
5700,3.611
5800,0.523
5900,2.163
6000,1.487
6100,1.1185
6200,3.451
6300,2.417
6400,1.395
6500,1.7275
6600,4.511
6700,2.7935
6800,0.79
6900,4.1255
7000,3.224
7100,2.022
7200,0.0615
7300,3.687
7400,2.8925
7500,5.5545
7600,3.753
7700,4.8435
7800,3.1995
7900,3.7505
8000,5.706
8100,2.82
8200,2.502
8300,3.387
8400,2.5825
8500,2.7315
8600,4.194
8700,6.558
8800,3.762
8900,3.795
9000,4.911
9100,5.184
9200,1.42
9300,3.839
9400,3.3745
9500,3.356
9600,3.893
9700,2.822
9800,5.572
9900,6.4685
10000,2.0595
10100,4.775
10200,6.951
10300,4.956
10400,6.2725
10500,3.318
10600,6.1685
10700,4.875
10800,5.3785
10900,3.1405
11000,4.1965
11100,2.4575
11200,6.453
11300,4.739
11400,4.054
11500,4.183
11600,5.3855
11700,4.3435
11800,0.3735
11900,3.0535
12000,7.4975
12100,4.4335
12200,3.5715
12300,5.638
12400,6.191
12500,5.055
12600,7.394
12700,3.9715
12800,6.839
12900,4.3185
13000,3.658
13100,5.808
13200,5.0155
13300,4.239
13400,7.5295
13500,6.693
13600,2.7175
13700,5.4245
13800,7.67
13900,5.7795
14000,5.9295
14100,4.107
14200,5.84
14300,5.3135
14400,5.2005
14500,5.1785
14600,6.074
14700,4.4035
14800,4.9035
14900,5.809
15000,6.5545
15100,4.225
15200,5.864
15300,3.369
15400,5.528
15500,3.727
15600,6.091
15700,7.6465
15800,4.011
15900,4.1685
16000,4.844
16100,8.992
16200,4.386
16300,6.4395
16400,7.194
16500,3.157
16600,6.8105
16700,4.7565
16800,7.1905
16900,5.5525
17000,3.7175
17100,4.497
17200,2.665
17300,5.1025
17400,5.4995
17500,7.2035
17600,6.1535
17700,4.746
17800,3.0985
17900,5.9595
18000,5.535
18100,6.485
18200,5.3385
18300,8.3855
18400,5.762
18500,7.248
18600,7.683
18700,6.643
18800,4.7895
18900,6.03
19000,9.3525
19100,7.2505
19200,6.1875
19300,6.513
19400,4.43
19500,6.756
19600,6.195
19700,6.2725
19800,2.6615
19900,5.756
