episode,reward
0,-0.96
100,0.3025
200,0.898
300,0.418
400,1.315
500,1.204
600,-0.7545
700,0.9925
800,-2.829
900,0.7445
1000,-1.1615
1100,-0.3145
1200,2.1405
1300,0.0565
1400,1.1525
1500,0.098
1600,-0.53
1700,0.2325
1800,-3.0985
1900,1.7375
2000,-1.0865
2100,1.0505
2200,1.984
2300,-0.852
2400,1.081
2500,-0.3005
2600,-0.799
2700,1.904
2800,-3.0065
2900,0.0265
3000,-1.3345
3100,0.3025
3200,1.1785
3300,-0.0245
3400,0.8035
3500,0.372
3600,-1.236
3700,0.4025
3800,-2.9435
3900,-0.1285
4000,-1.1165
4100,0.071
4200,-3.261
4300,-1.255
4400,0.5995
4500,-2.5735
4600,1.3105
4700,-1.962
4800,1.546
4900,-2.4865
5000,-1.246
5100,-0.3045
5200,0.36
5300,-0.405
5400,-1.019
5500,-0.3715
5600,-0.949
5700,-0.0275
5800,-3.291
5900,0.494
6000,-1.724
6100,-0.1865
6200,-2.2585
6300,-0.159
6400,0.592
6500,-1.5585
6600,2.5255
6700,-2.0185
6800,2.2935
6900,-1.22
7000,-0.3075
7100,-1.018
7200,-2.416
7300,0.466
7400,-0.5265
7500,0.564
7600,0.16
7700,-1.8795
7800,-0.5815
7900,2.625
8000,1.7845
8100,-0.7815
8200,-0.522
8300,2.6275
8400,-1.277
8500,-0.033
8600,-0.243
8700,0.913
8800,0.5215
8900,-1.9255
9000,2.2145
9100,1.5475
9200,-1.3645
9300,2.0155
9400,0.1855
9500,1.1915
9600,-2.6695
9700,-0.2015
9800,-2.1775
9900,1.075
10000,0.697
10100,1.1675
10200,0.564
10300,-0.305
10400,0.6795
10500,3.3
10600,0.5405
10700,1.231
10800,0.224
10900,-1.036
11000,1.292
11100,-2.507
11200,0.066
11300,-1.16
11400,-3.329
11500,-1.659
11600,-0.708
11700,-1.391
11800,-4.98
11900,-0.5665
12000,0.1935
12100,-1.5955
12200,1.3625
12300,0.345
12400,1.966
12500,0.0625
12600,-1.923
12700,0.484
12800,-0.479
12900,0.994
13000,-0.3065
13100,1.881
13200,-0.3755
13300,1.5775
13400,-1.2665
13500,-0.346
13600,-0.0985
13700,-0.2505
13800,0.333
13900,1.733
14000,-0.413
14100,-0.7655
14200,-1.2525
14300,-0.1435
14400,-0.638
14500,-1.5425
14600,0.5905
14700,-0.672
14800,1.1905
14900,1.947
15000,0.236
15100,0.462
15200,-0.557
15300,0.342
15400,1.26
15500,0.7275
15600,0.769
15700,0.4985
15800,-2.81
15900,-0.6295
16000,0.8845
16100,0.6025
16200,0.0645
16300,-0.7955
16400,0.525
16500,-2.431
16600,2.0875
16700,0.79
16800,-0.2245
16900,-1.161
17000,-1.2055
17100,-0.0075
17200,-0.5775
17300,0.4115
17400,-0.3775
17500,1.165
17600,-0.857
17700,-0.9925
17800,-1.205
17900,0.701
18000,1.2735
18100,1.667
18200,0.7015
18300,2.6015
18400,-2.122
18500,2.177
18600,0.0775
18700,0.894
18800,1.434
18900,-0.1825
19000,1.8645
19100,2.202
19200,-1.4315
19300,2.047
19400,0.543
19500,1.9715
19600,-2.1695
19700,0.41
19800,-1.442
19900,-0.0605
20000,0.285
20100,1.4195
20200,2.252
20300,0.996
20400,1.469
20500,1.724
20600,1.5955
20700,-0.3925
20800,-1.702
20900,-0.4565
21000,-0.31
21100,0.709
21200,-1.9925
21300,-0.3755
21400,-0.6625
21500,-1.559
21600,1.225
21700,-1.316
21800,-0.4065
21900,-0.838
22000,-0.4395
22100,-0.958
22200,-2.098
22300,-0.984
22400,-0.8125
22500,0.8515
22600,-0.138
22700,-1.643
22800,-0.716
22900,1.2825
23000,1.977
23100,-0.3295
23200,-0.7545
23300,3.1045
23400,-3.384
23500,1.6395
23600,0.8565
23700,1.336
23800,2.531
23900,0.0655
24000,4.436
24100,2.6825
24200,-1.8105
24300,1.163
24400,0.7675
24500,3.72
24600,-2.3385
24700,0.9745
24800,-0.882
24900,1.1955
25000,-0.96
25100,0.3025
25200,0.898
25300,0.418
25400,1.315
25500,1.204
25600,-0.7545
25700,0.9925
25800,-2.829
25900,0.7445
26000,0.999
26100,0.87
26200,-2.0855
26300,-0.782
26400,0.803
26500,-2.9715
26600,1.7585
26700,0.3295
26800,1.512
26900,-2.2495
27000,-0.597
27100,-0.3135
27200,-2.9465
27300,0.7145
27400,1.627
27500,1.335
27600,-2.0225
27700,-1.5985
27800,-2.121
27900,2.035
28000,0.1275
28100,-1.415
28200,1.578
28300,2.8455
28400,-0.4815
28500,1.5775
28600,-0.503
28700,2.2015
28800,1.7665
28900,-0.647
29000,2.9185
29100,2.092
29200,-2.7115
29300,0.5045
29400,0.7915
29500,3.4695
29600,-2.988
29700,-1.3355
29800,-2.3575
29900,0.1765
30000,2.0165
30100,-0.0885
30200,0.261
30300,-1.345
30400,0.6365
30500,1.513
30600,1.8255
30700,0.8665
30800,0.238
30900,-0.239
31000,-0.652
31100,-2.953
31200,-0.007
31300,-0.599
31400,-2.5515
31500,-2.2445
31600,-0.0675
31700,-3.838
31800,-2.685
31900,-1.102
32000,3.131
32100,-2.5505
32200,-0.3195
32300,0.0745
32400,2.3415
32500,-0.82
32600,-2.5305
32700,1.5125
32800,0.9655
32900,2.1095
33000,1.849
33100,-1.116
33200,1.388
33300,0.9465
33400,-2.27
33500,-2.488
33600,-1.393
33700,1.4505
33800,0.7845
33900,0.419
34000,-1.024
34100,-0.4545
34200,-3.1505
34300,-0.287
34400,-0.6485
34500,-1.7175
34600,-0.919
34700,-1.7665
34800,-0.494
34900,2.683
35000,1.5955
35100,-0.476
35200,0.9035
35300,0.695
35400,1.4455
35500,0.562
35600,-0.6055
35700,-0.9225
35800,-4.245
35900,-0.4435
36000,-1.08
36100,1.1345
36200,-1.9795
36300,0.238
36400,0.262
36500,-1.498
36600,1.275
36700,0.5455
36800,1.1915
36900,-2.597
37000,-0.252
37100,-0.5815
37200,-2.9505
37300,0.208
37400,0.1025
37500,1.0085
37600,-0.2305
37700,0.566
37800,-0.683
37900,0.0675
38000,1.5435
38100,-0.328
38200,-0.2355
38300,2.638
38400,-1.9675
38500,2.638
38600,-0.362
38700,3.25
38800,2.053
38900,-3.348
39000,1.5245
39100,2.306
39200,-1.4
39300,1.1965
39400,0.434
39500,1.859
39600,-1.332
39700,0.502
39800,-1.612
39900,1.2845
40000,1.0625
40100,1.292
40200,-1.196
40300,-0.09
40400,-0.1365
40500,-0.555
40600,0.9965
40700,1.913
40800,-1.0735
40900,-1.5895
41000,1.0425
41100,-0.6065
41200,-0.0755
41300,-1.0265
41400,-1.935
41500,-2.6225
41600,-2.2335
41700,-2.658
41800,-1.1065
41900,0.927
42000,2.0465
42100,-1.8915
42200,-0.2505
42300,-0.53
42400,4.3415
42500,0.366
42600,-1.3105
42700,-0.599
42800,-0.359
42900,1.825
43000,0.579
43100,1.4055
43200,-0.6085
43300,0.968
43400,-2.0845
43500,-2.1175
43600,-0.619
43700,1.108
43800,0.194
43900,0.9205
44000,-0.745
44100,-0.3025
44200,-2.8495
44300,-0.292
44400,-1.488
44500,-1.667
44600,-0.7845
44700,-0.2815
44800,0.5655
44900,1.7795
45000,0.171
45100,0.5045
45200,-0.13
45300,1.693
45400,0.082
45500,-0.6785
45600,0.7265
45700,1.545
45800,0.3875
45900,-3.653
46000,-1.424
46100,-0.188
46200,-0.3225
46300,-0.2895
46400,-1.0855
46500,-0.067
46600,1.5485
46700,-2.332
46800,-2.4645
46900,-1.8735
47000,2.445
47100,1.998
